City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
130,Toktogul,KG,2021-09-25 01:45:52,41.8708,72.9402,63.72,32,0,1.3
131,Havelock,US,2021-09-25 01:43:32,34.8791,-76.9013,69.94,87,1,6.91
132,Nishihara,JP,2021-09-25 01:45:53,26.1842,127.7558,85.68,70,40,11.5
133,Paita,PE,2021-09-25 01:45:53,-5.0892,-81.1144,64.87,85,4,13.82
134,Yarkovo,RU,2021-09-25 01:45:54,57.4028,67.0786,37.9,87,1,2.19
135,Pacific Grove,US,2021-09-25 01:41:15,36.6177,-121.9166,75.16,89,1,1.99
136,Mulchen,CL,2021-09-25 01:45:54,-37.7167,-72.2333,52.95,86,0,2.66
137,Skibbereen,IE,2021-09-25 01:45:55,51.55,-9.2667,60.6,95,99,5.46
138,Vestmanna,FO,2021-09-25 01:45:55,62.1564,-7.1664,40.12,93,90,0.0
139,Maturin,VE,2021-09-25 01:45:56,9.75,-63.1767,74.86,93,42,0.51
140,Merritt Island,US,2021-09-25 01:44:26,28.5392,-80.672,83.08,79,90,5.75
141,Zambezi,ZM,2021-09-25 01:45:56,-13.5432,23.1047,62.51,34,0,5.14
142,Castanos,MX,2021-09-25 01:42:05,26.7833,-101.4167,77.97,57,0,1.81
143,Atasu,KZ,2021-09-25 01:45:57,48.6814,71.6433,41.56,36,0,5.57
144,Caravelas,BR,2021-09-25 01:45:57,-17.7125,-39.2481,71.11,68,99,8.55
145,Te Anau,NZ,2021-09-25 01:45:58,-45.4167,167.7167,43.81,91,100,10.04
146,Tasiilaq,GL,2021-09-25 01:43:36,65.6145,-37.6368,29.73,81,98,7.9
147,Beloha,MG,2021-09-25 01:45:58,-25.1667,45.05,69.24,61,0,7.16
148,Hithadhoo,MV,2021-09-25 01:44:04,-0.6,73.0833,82.44,72,99,13.76
149,Nikolskoye,RU,2021-09-25 01:43:46,59.7035,30.7861,46.4,93,100,7.45
150,Ponta Do Sol,PT,2021-09-25 01:44:08,32.6667,-17.1,69.71,71,1,0.43
151,Kropotkin,RU,2021-09-25 01:43:34,45.4375,40.5756,54.23,86,100,13.38
152,Mount Gambier,AU,2021-09-25 01:46:00,-37.8333,140.7667,51.71,62,75,13.8
153,Porto Tolle,IT,2021-09-25 01:46:00,44.9497,12.3245,63.01,72,0,3.04
154,San Cristobal,VE,2021-09-25 01:46:01,7.7669,-72.225,75.38,97,100,3.65
155,Manicore,BR,2021-09-25 01:46:01,-5.8092,-61.3003,73.58,96,85,3.09
156,Codrington,AU,2021-09-25 01:43:56,-38.2667,141.9667,52.2,56,93,13.51
157,Nusaybin,TR,2021-09-25 01:46:02,37.0778,41.2178,68.54,49,0,5.35
158,Sur,OM,2021-09-25 01:46:03,22.5667,59.5289,82.78,70,100,4.38
159,Nayoro,JP,2021-09-25 01:46:03,44.3506,142.4578,64.02,47,45,4.94
160,Kodiak,US,2021-09-25 01:43:45,57.79,-152.4072,51.31,24,1,14.97
161,Gull Lake,CA,2021-09-25 01:46:04,50.1001,-108.4847,59.36,34,1,8.88
162,Lompoc,US,2021-09-25 01:42:00,34.6391,-120.4579,72.1,83,1,9.22
163,Ishigaki,JP,2021-09-25 01:46:05,24.3448,124.1572,86.13,70,20,16.11
164,Margate,GB,2021-09-25 01:46:05,51.3813,1.3862,61.03,91,39,1.99
165,Gat,IL,2021-09-25 01:46:06,31.61,34.7642,72.28,59,78,3.29
166,Abu Samrah,SY,2021-09-25 01:46:06,35.3029,37.1841,61.34,52,0,4.36
167,Ilulissat,GL,2021-09-25 01:44:03,69.2167,-51.1,24.82,58,75,4.61
168,Mehndawal,IN,2021-09-25 01:46:07,26.9753,83.1117,81.18,82,67,4.54
169,Iqaluit,CA,2021-09-25 01:42:10,63.7506,-68.5145,28.13,86,20,11.01
170,Arnstadt,DE,2021-09-25 01:46:07,50.8333,10.95,58.42,88,2,6.24
171,Korla,CN,2021-09-25 01:46:08,41.7597,86.1469,63.55,26,0,6.13
172,Cherskiy,RU,2021-09-25 01:44:27,68.75,161.3,35.6,85,100,11.63
173,Tambura,SS,2021-09-25 01:46:09,5.6,27.4667,65.77,98,100,3.0
174,Dikson,RU,2021-09-25 01:42:39,73.5069,80.5464,36.07,88,100,16.53
175,Mackenzie,CA,2021-09-25 01:46:10,55.2999,-123.1698,52.02,71,90,13.8
176,Altay,CN,2021-09-25 01:46:10,47.8667,88.1167,36.91,59,95,2.91
177,Bayir,TR,2021-09-25 01:46:10,37.2687,28.2167,46.92,35,0,3.76
178,Severo-Kurilsk,RU,2021-09-25 01:43:34,50.6789,156.125,47.44,92,100,29.89
179,Anloga,GH,2021-09-25 01:46:11,5.7947,0.8973,77.22,86,100,10.63
180,Barcelos,PT,2021-09-25 01:46:11,41.5388,-8.6151,63.91,89,100,5.06
181,Upernavik,GL,2021-09-25 01:44:53,72.7868,-56.1549,21.0,82,35,6.15
182,Faanui,PF,2021-09-25 01:43:33,-16.4833,-151.75,77.22,62,0,1.92
183,Padang,ID,2021-09-25 01:46:13,-0.9492,100.3543,78.85,79,97,2.98
184,Matay,EG,2021-09-25 01:46:13,28.419,30.7792,68.92,57,0,10.38
185,Thinadhoo,MV,2021-09-25 01:46:14,0.5333,72.9333,82.35,71,100,12.15
186,Sabzevar,IR,2021-09-25 01:46:14,36.2126,57.6819,76.23,11,0,7.7
187,Bako,ET,2021-09-25 01:46:15,5.7833,36.5667,62.64,87,100,4.36
188,Nerekhta,RU,2021-09-25 01:46:15,57.4588,40.5747,44.49,93,90,7.29
189,Dongsheng,CN,2021-09-25 01:46:15,39.8161,109.9776,64.18,62,100,11.48
190,Ardahan,TR,2021-09-25 01:46:16,41.1087,42.7022,36.97,89,52,3.02
191,Alugan,PH,2021-09-25 01:46:16,12.2188,125.4808,86.11,70,17,6.08
192,Roma,US,2021-09-25 01:42:45,43.2128,-75.4557,58.41,91,1,0.0
193,Yar-Sale,RU,2021-09-25 01:44:16,66.8333,70.8333,33.87,88,16,6.64
194,Banjar,ID,2021-09-25 01:43:25,-8.19,114.9675,82.26,65,84,2.71
195,Labuhan,ID,2021-09-25 01:46:18,-6.8844,112.2051,84.74,66,63,7.18
196,Cabo San Lucas,MX,2021-09-25 01:43:50,22.8909,-109.9124,86.61,79,3,8.28
197,Wattegama,LK,2021-09-25 01:46:18,6.7989,81.4808,77.92,75,100,6.29
198,Buenos Aires,AR,2021-09-25 01:41:23,-34.6132,-58.3772,58.96,83,40,18.41
199,Bilibino,RU,2021-09-25 01:44:52,68.0546,166.4372,28.22,86,100,4.76
200,Bani,DO,2021-09-25 01:46:19,18.2833,-70.3333,78.37,85,98,2.33
201,Los Llanos De Aridane,ES,2021-09-25 01:46:20,28.6585,-17.9182,66.13,79,0,9.22
